year,site,sex,WL,DOY,snow,snow.1,mayjun,mayaug.1
1996,3,m,17.37,217,158.8,NA,-1.7558,NA
1996,3,f,19.32,217,158.8,NA,-1.7558,NA
1996,3,f,20.03,217,158.8,NA,-1.7558,NA
1996,3,f,18.72,217,158.8,NA,-1.7558,NA
1996,3,m,18.01,217,158.8,NA,-1.7558,NA
1996,3,m,19.07,217,158.8,NA,-1.7558,NA
1996,3,f,18.31,217,158.8,NA,-1.7558,NA
1996,3,m,19.03,217,158.8,NA,-1.7558,NA
1996,3,f,19.48,217,158.8,NA,-1.7558,NA
1996,3,m,17.9,217,158.8,NA,-1.7558,NA
1996,3,f,19.5,217,158.8,NA,-1.7558,NA
1996,3,m,17.21,224,158.8,NA,-1.7558,NA
1996,3,m,18.06,224,158.8,NA,-1.7558,NA
1996,3,f,19.55,224,158.8,NA,-1.7558,NA
1996,3,m,16.97,224,158.8,NA,-1.7558,NA
1996,3,f,19.48,224,158.8,NA,-1.7558,NA
1996,3,m,18.14,224,158.8,NA,-1.7558,NA
1996,3,f,19.64,224,158.8,NA,-1.7558,NA
1996,3,f,19.64,224,158.8,NA,-1.7558,NA
1996,3,f,19.26,224,158.8,NA,-1.7558,NA
1996,3,m,19.24,224,158.8,NA,-1.7558,NA
1996,3,f,17.81,224,158.8,NA,-1.7558,NA
1996,3,f,19.71,224,158.8,NA,-1.7558,NA
1996,3,f,19.93,224,158.8,NA,-1.7558,NA
1996,3,f,18.79,224,158.8,NA,-1.7558,NA
1996,3,f,19.35,224,158.8,NA,-1.7558,NA
1996,3,f,18.34,224,158.8,NA,-1.7558,NA
1996,3,f,19.08,224,158.8,NA,-1.7558,NA
1996,3,f,18.57,224,158.8,NA,-1.7558,NA
1996,3,m,18.07,224,158.8,NA,-1.7558,NA
1996,3,f,18.39,224,158.8,NA,-1.7558,NA
1996,3,f,20.02,224,158.8,NA,-1.7558,NA
1996,3,f,20.09,224,158.8,NA,-1.7558,NA
1996,3,f,18.92,224,158.8,NA,-1.7558,NA
1996,3,m,18.03,224,158.8,NA,-1.7558,NA
1996,4,m,18.26,182,158.8,NA,-1.7558,NA
1996,4,f,20.36,196,158.8,NA,-1.7558,NA
1996,4,f,18.86,196,158.8,NA,-1.7558,NA
1996,4,f,19.11,196,158.8,NA,-1.7558,NA
1996,4,f,18.71,196,158.8,NA,-1.7558,NA
1996,4,f,18.68,217,158.8,NA,-1.7558,NA
1996,4,f,20.37,217,158.8,NA,-1.7558,NA
1996,4,f,20.24,217,158.8,NA,-1.7558,NA
1996,4,f,19.15,217,158.8,NA,-1.7558,NA
1996,4,m,18.79,217,158.8,NA,-1.7558,NA
1996,4,m,18.54,217,158.8,NA,-1.7558,NA
1996,4,f,19.37,224,158.8,NA,-1.7558,NA
1996,4,f,19.61,231,158.8,NA,-1.7558,NA
1996,4,f,19.23,231,158.8,NA,-1.7558,NA
1996,4,f,19.36,203,158.8,NA,-1.7558,NA
1996,4,f,18.62,203,158.8,NA,-1.7558,NA
1996,4,m,16.56,203,158.8,NA,-1.7558,NA
1996,4,m,18.68,203,158.8,NA,-1.7558,NA
1996,4,m,18.25,203,158.8,NA,-1.7558,NA
1996,4,m,17.76,203,158.8,NA,-1.7558,NA
1996,4,f,19.57,203,158.8,NA,-1.7558,NA
1996,4,m,18.82,203,158.8,NA,-1.7558,NA
1996,4,m,18.01,203,158.8,NA,-1.7558,NA
1996,4,f,19.22,203,158.8,NA,-1.7558,NA
1996,4,m,18.57,203,158.8,NA,-1.7558,NA
1996,4,f,19.33,203,158.8,NA,-1.7558,NA
1996,4,m,18.15,203,158.8,NA,-1.7558,NA
1996,4,f,20.08,203,158.8,NA,-1.7558,NA
1996,4,m,16.67,203,158.8,NA,-1.7558,NA
1996,4,m,17.72,203,158.8,NA,-1.7558,NA
1996,4,m,18.48,203,158.8,NA,-1.7558,NA
1996,4,f,18.02,203,158.8,NA,-1.7558,NA
1996,4,m,18.56,203,158.8,NA,-1.7558,NA
1996,4,m,17.72,203,158.8,NA,-1.7558,NA
1996,4,f,18.11,203,158.8,NA,-1.7558,NA
1996,4,f,18.52,203,158.8,NA,-1.7558,NA
1996,4,m,18.01,203,158.8,NA,-1.7558,NA
1996,4,f,18.82,203,158.8,NA,-1.7558,NA
1996,4,m,17.88,203,158.8,NA,-1.7558,NA
1996,4,f,19.38,203,158.8,NA,-1.7558,NA
1996,4,m,16.23,203,158.8,NA,-1.7558,NA
1996,4,f,19.8,203,158.8,NA,-1.7558,NA
1996,4,f,18.02,203,158.8,NA,-1.7558,NA
1996,4,f,19.2,203,158.8,NA,-1.7558,NA
1996,4,f,20.02,210,158.8,NA,-1.7558,NA
1996,4,f,19.69,210,158.8,NA,-1.7558,NA
1996,4,m,18.89,210,158.8,NA,-1.7558,NA
1996,4,m,19,210,158.8,NA,-1.7558,NA
1996,4,f,19.92,210,158.8,NA,-1.7558,NA
1996,4,f,18.73,210,158.8,NA,-1.7558,NA
1996,4,m,18.42,210,158.8,NA,-1.7558,NA
1996,4,f,18.68,210,158.8,NA,-1.7558,NA
