chick.id,nest,year,egg.id,is.parasite,hatch.order,egg.vol,egg.seq,chin_chroma
5001-1,5001,2005,1,FALSE,1,30.8871456,1.5,0.665982325
5001-10,5001,2005,10,FALSE,5,31.24611766,10,0.700197171
5001-11,5001,2005,11,FALSE,6,31.48033894,11,0.74297165
5001-12,5001,2005,12,FALSE,7,28.71836471,12,0.692804224
5001-2,5001,2005,2,FALSE,2,34.48370667,1.5,0.605417789
5001-3,5001,2005,3,FALSE,1,35.03020798,3,0.678035171
5001-4,5001,2005,4,FALSE,2,32.1713078,4,0.641536162
5001-5,5001,2005,5,FALSE,2,34.429248,5,0.720932077
5001-6,5001,2005,6,FALSE,2,33.6223,6,0.719332689
5001-7,5001,2005,7,FALSE,2,32.83438,7,0.736519196
5001-9,5001,2005,9,FALSE,4,32.1713078,9,0.704341139
5002-10,5002,2005,10,FALSE,5,34.86569779,10,0.676184672
5002-5,5002,2005,5,FALSE,2,34.13515981,5,0.676667272
5002-6,5002,2005,6,FALSE,2,34.4413482,6,0.698597991
5002-7,5002,2005,7,FALSE,3,33.84717987,7,0.667942352
5002-8,5002,2005,8,FALSE,4,34.08192,8,0.63638395
5002-9,5002,2005,9,FALSE,4,34.72748751,9,0.789586758
5002-P1,5002,2005,P1,TRUE,7,35.653271,NA,0.789396981
5002-P2,5002,2005,P2,TRUE,7,27.64102669,NA,0.730892621
5002-P3,5002,2005,P3,TRUE,7,31.262828,NA,0.758354134
5003-1,5003,2005,1,FALSE,1,29.7228866,1.5,0.696491473
5003-10,5003,2005,10,FALSE,6,28.92595162,10,0.720002225
5003-2,5003,2005,2,FALSE,1,31.35348275,1.5,0.648538282
5003-3,5003,2005,3,FALSE,1,31.22662656,3,0.672590658
5003-4,5003,2005,4,FALSE,2,30.77521808,4,0.694586856
5003-5,5003,2005,5,FALSE,2,31.42639322,5,0.665692618
5003-6,5003,2005,6,FALSE,2,30.64685144,6,0.705710496
5003-7,5003,2005,7,FALSE,2,29.7439053,7,0.689900364
5003-9,5003,2005,9,FALSE,5,28.70906458,9,0.704683763
5004-2,5004,2005,2,FALSE,1,36.94296258,2,0.690853291
5004-3,5004,2005,3,FALSE,2,35.36151923,3,0.699643625
5004-6,5004,2005,6,FALSE,3,36.77786493,6,0.701808874
5004-P1,5004,2005,P1,TRUE,4,30.7012608,NA,0.6864307
5004-P11,5004,2005,P11,TRUE,4,30.90948608,NA,0.695191109
5004-P12,5004,2005,P12,TRUE,7,31.5971312,NA,0.639189947
5004-P13,5004,2005,P13,TRUE,6,31.36333336,NA,0.716969382
5004-P14,5004,2005,P14,TRUE,7,31.00404184,NA,0.629121114
5004-P2,5004,2005,P2,TRUE,3,29.9179311,NA,0.690343592
5004-P6,5004,2005,P6,TRUE,6,30.5923456,NA,0.649473807
5004-P7,5004,2005,P7,TRUE,4,30.95892243,NA,0.639745142
5005-1,5005,2005,1,FALSE,1,28.25854157,1.5,0.725503383
5005-2,5005,2005,2,FALSE,1,28.71836471,1.5,0.737176133
5005-3,5005,2005,3,FALSE,2,30.29176216,3,0.69025435
5005-4,5005,2005,4,FALSE,2,30.17001619,4,0.638492233
5005-5,5005,2005,5,FALSE,2,29.337248,5,0.67866526
5005-7,5005,2005,7,FALSE,4,30.00394249,7,0.69913155
5005-8,5005,2005,8,FALSE,4,29.2406072,8,0.743563133
5005-9,5005,2005,9,FALSE,6,28.83204013,9,0.7390638
5007-10,5007,2005,10,FALSE,1,30.41350813,NA,0.7076312
5007-11,5007,2005,11,FALSE,1,29.9994224,NA,0.650094067
5007-13,5007,2005,13,FALSE,1,NA,NA,0.709876867
5007-5,5007,2005,5,FALSE,2,29.0071256,NA,0.696213717
5007-7,5007,2005,7,FALSE,2,NA,NA,0.694642817
5007-8,5007,2005,8,FALSE,2,30.06124678,NA,0.64815205
5008-1,5008,2005,1,FALSE,1,31.2533483,1,0.740541167
5008-3,5008,2005,3,FALSE,3,33.4956566,3,0.728275367
5008-4,5008,2005,4,FALSE,3,34.502144,4,0.708721617
5008-5,5008,2005,5,FALSE,4,32.05587055,5,0.6801934
5008-6,5008,2005,6,FALSE,5,34.48195127,6,0.7195458
5008-7,5008,2005,7,FALSE,6,33.64567174,7,0.72264505
5008-P1,5008,2005,P1,TRUE,7,31.99681729,NA,0.7381072
5009-1,5009,2005,1,FALSE,1,30.38077568,1,0.741390267
5009-2,5009,2005,2,FALSE,1,31.30881037,2,0.668471833
5009-3,5009,2005,3,FALSE,1,30.2430344,3,0.686861967
5009-4,5009,2005,4,FALSE,1,30.448778,4,0.6821382
5009-5,5009,2005,5,FALSE,2,30.36841981,5,0.704984383
5009-6,5009,2005,6,FALSE,2,30.33863322,6,0.702817
5009-7,5009,2005,7,FALSE,3,30.09247254,7,0.705231267
5009-8,5009,2005,8,FALSE,4,NA,8,0.68320964
5009-P2,5009,2005,P2,TRUE,3,30.53859123,NA,0.6619752
5009-P3,5009,2005,p3,TRUE,4,28.46795034,NA,0.696939817
5009-P4,5009,2005,P4,TRUE,3,31.081392,NA,0.5951406
5009-P5,5009,2005,P5,TRUE,5,29.4620288,NA,0.681385417
5009-P6,5009,2005,P6,TRUE,6,26.3703808,NA,0.689071383
5009-P7,5009,2005,P7,TRUE,7,29.4740888,NA,0.65112405
5010-4,5010,2005,4,FALSE,2,31.93087214,4,0.732611051
5010-5,5010,2005,5,FALSE,1,31.75146061,5,0.734079261
5010-6,5010,2005,6,FALSE,2,32.05699186,6,0.769082082
5010-7,5010,2005,7,FALSE,3,31.724726,7,0.718857377
5010-8,5010,2005,8,FALSE,4,30.7809104,8,0.661420764
5011-1,5011,2005,1,FALSE,1,34.98905926,1,0.707932703
