"new.id","Egg.ID","Brood","Brood.Treatment","Clutch","Release.Date","Release.Order","Wetland","Year","is.parasite"
"5009-6","6",5009,"Control","5009.1","6/12/09",2,"Jaimeson",2005,FALSE
"5009-7","7",5009,"Control","5009.1","6/13/09",3,"Jaimeson",2005,FALSE
"5009-P2","P2",5009,"Control","5009.1","6/13/09",3,"Jaimeson",2005,TRUE
"5009-P4","P4",5009,"Control","5009.1","6/13/09",3,"Jaimeson",2005,TRUE
"5009-8","8",5009,"Control","5009.1","6/14/09",4,"Jaimeson",2005,FALSE
"5009-P3","p3",5009,"Control","5009.1","6/14/09",4,"Jaimeson",2005,TRUE
"5009-P5","P5",5009,"Control","5009.1","6/15/09",5,"Jaimeson",2005,TRUE
"5009-P6","P6",5009,"Control","5009.1","6/16/09",6,"Jaimeson",2005,TRUE
"5010-5","5",5010,"50/50","5010","6/4/09",1,"Jaimeson",2005,FALSE
"5010-4","4",5010,"50/50","5010","6/5/09",2,"Jaimeson",2005,FALSE
"5010-6","6",5010,"50/50","5010","6/5/09",2,"Jaimeson",2005,FALSE
"5010-7","7",5010,"50/50","5010","6/6/09",3,"Jaimeson",2005,FALSE
"5010-8","8",5010,"50/50","5010","6/7/09",4,"Jaimeson",2005,FALSE
"5011-1","1",5011,"Control","5011.1","6/17/09",1,"Jaimeson",2005,FALSE
"5011-2","2",5011,"Control","5011.1","6/18/09",2,"Jaimeson",2005,FALSE
"5011-3","3",5011,"Control","5011.1","6/18/09",2,"Jaimeson",2005,FALSE
"5011-4","4",5011,"Control","5011.1","6/18/09",2,"Jaimeson",2005,FALSE
"5011-5","5",5011,"Control","5011.1","6/19/09",3,"Jaimeson",2005,FALSE
"5011-6","6",5011,"Control","5011.1","6/19/09",3,"Jaimeson",2005,FALSE
"5011-7","7",5011,"Control","5011.1","6/21/09",5,"Jaimeson",2005,FALSE
"5012-4","4",5012,"50/50","5012","6/4/09",1,"Jaimeson",2005,FALSE
"5012-5","5",5012,"50/50","5012","6/4/09",1,"Jaimeson",2005,FALSE
"5012-1","1",5012,"50/50","5012","6/5/09",2,"Jaimeson",2005,FALSE
"5012-6","6",5012,"50/50","5012","6/5/09",2,"Jaimeson",2005,FALSE
"5012-7","7",5012,"50/50","5012","6/6/09",3,"Jaimeson",2005,FALSE
"5012-8","8",5012,"50/50","5012","6/6/09",3,"Jaimeson",2005,FALSE
"5012-P4","P4",5012,"50/50","5012","6/9/09",6,"Jaimeson",2005,TRUE
"5012-P5","P5",5012,"50/50","5012","6/9/09",6,"Jaimeson",2005,TRUE
"5014-8","8",5014,"Control","5014","6/7/09",NA,"Riske 42",2005,FALSE
"5015-1","1",5015,"Control","5015","6/2/09",NA,"Riske 42",2005,FALSE
"5015-3","3",5015,"Control","5015","6/2/09",NA,"Riske 42",2005,FALSE
"5015-6","6",5015,"Control","5015","6/4/09",NA,"Riske 42",2005,FALSE
"5015-8","8",5015,"Control","5015","6/5/09",NA,"Riske 42",2005,FALSE
"5017-10","10",5017,"Control","5017.1","6/27/09",NA,"Riske 42",2005,FALSE
"5018-3","3",5018,"50/50","5018.1","6/7/09",1,"Jaimeson",2005,FALSE
"5018-4","4",5018,"50/50","5018.1","6/7/09",1,"Jaimeson",2005,FALSE
"5018-5","5",5018,"50/50","5018.1","6/7/09",1,"Jaimeson",2005,FALSE
"5018-6","6",5018,"50/50","5018.1","6/7/09",1,"Jaimeson",2005,FALSE
"5018-1","1",5018,"50/50","5018.1","6/8/09",2,"Jaimeson",2005,FALSE
"5018-2","2",5018,"50/50","5018.1","6/9/09",3,"Jaimeson",2005,FALSE
"5018-7","7",5018,"50/50","5018.1","6/9/09",3,"Jaimeson",2005,FALSE
"5018-8","8",5018,"50/50","5018.1","6/9/09",3,"Jaimeson",2005,FALSE
"5018-9","9",5018,"50/50","5018.1","6/10/09",4,"Jaimeson",2005,FALSE
"5019-1","1",5019,"50/50","5019","6/3/09",1,"Jaimeson",2005,FALSE
"5019-2","2",5019,"50/50","5019","6/4/09",2,"Jaimeson",2005,FALSE
"5019-3","3",5019,"50/50","5019","6/4/09",2,"Jaimeson",2005,FALSE
"5019-4","4",5019,"50/50","5019","6/5/09",3,"Jaimeson",2005,FALSE
"5019-5","5",5019,"50/50","5019","6/6/09",4,"Jaimeson",2005,FALSE
"5019-6","6",5019,"50/50","5019","6/6/09",4,"Jaimeson",2005,FALSE
"5019-7","7",5019,"50/50","5019","6/7/09",5,"Jaimeson",2005,FALSE
"5019-8","8",5019,"50/50","5019","6/8/09",6,"Jaimeson",2005,FALSE
"5019-9","9",5019,"50/50","5019","6/9/09",7,"Jaimeson",2005,FALSE
"5020-1","1",5020,"Control","5020","6/5/09",1,"Jaimeson",2005,FALSE
"5020-2","2",5020,"Control","5020","6/6/09",2,"Jaimeson",2005,FALSE
"5020-3","3",5020,"Control","5020","6/6/09",2,"Jaimeson",2005,FALSE
"5020-4","4",5020,"Control","5020","6/6/09",2,"Jaimeson",2005,FALSE
"5020-5","5",5020,"Control","5020","6/6/09",2,"Jaimeson",2005,FALSE
"5020-6","6",5020,"Control","5020","6/6/09",2,"Jaimeson",2005,FALSE
"5020-7","7",5020,"Control","5020","6/7/09",3,"Jaimeson",2005,FALSE
"5020-8","8",5020,"Control","5020","6/8/09",4,"Jaimeson",2005,FALSE
"5020-9","9",5020,"Control","5020","6/9/09",5,"Jaimeson",2005,FALSE
"5021-1","1",5021,"50/50","5021","6/4/09",1,"Jaimeson",2005,FALSE
"5021-2","2",5021,"50/50","5021","6/4/09",1,"Jaimeson",2005,FALSE
"5021-3","3",5021,"50/50","5021","6/4/09",1,"Jaimeson",2005,FALSE
"5021-4","4",5021,"50/50","5021","6/5/09",2,"Jaimeson",2005,FALSE
"5021-5","5",5021,"50/50","5021","6/6/09",3,"Jaimeson",2005,FALSE
"5021-6","6",5021,"50/50","5021","6/6/09",3,"Jaimeson",2005,FALSE
"5021-7","7",5021,"50/50","5021","6/7/09",4,"Jaimeson",2005,FALSE
"5021-8","8",5021,"50/50","5021","6/8/09",5,"Jaimeson",2005,FALSE
"5021-P1","P1",5021,"50/50","5021","6/10/09",7,"Jaimeson",2005,TRUE
"5021-P2","P2",5021,"50/50","5021","6/10/09",7,"Jaimeson",2005,TRUE
"5022-1","1",5022,"50/50","5022","6/4/09",1,"Jaimeson",2005,FALSE
"5022-3","3",5022,"50/50","5022","6/5/09",2,"Jaimeson",2005,FALSE
"5022-4","4",5022,"50/50","5022","6/5/09",2,"Jaimeson",2005,FALSE
"5022-5","5",5022,"50/50","5022","6/5/09",2,"Jaimeson",2005,FALSE
"5022-2","2",5022,"50/50","5022","6/6/09",3,"Jaimeson",2005,FALSE
"5022-6","6",5022,"50/50","5022","6/6/09",3,"Jaimeson",2005,FALSE
"5022-7","7",5022,"50/50","5022","6/6/09",3,"Jaimeson",2005,FALSE
"5022-8","8",5022,"50/50","5022","6/7/09",4,"Jaimeson",2005,FALSE
"5022-9","9",5022,"50/50","5022","6/8/09",5,"Jaimeson",2005,FALSE
"5023-2","2",5023,"50/50","5023","6/4/09",1,"Riske 42",2005,FALSE
"5023-5","5",5023,"50/50","5023","6/4/09",1,"Riske 42",2005,FALSE
"5023-6","6",5023,"50/50","5023","6/5/09",2,"Riske 42",2005,FALSE
