new.id,beak_brightness,beak_chroma,beak_hue,chin_brightness,chin_chroma,chin_hue,papillae_brightness,papillae_chroma,papillae_hue,pate_brightness,pate_chroma,pate_hue,shield_brightness,shield_chroma,shield_hue,PC1,PC2
5003-7,10646.9585,0.799433358,583.325,11150.49533,0.689900364,557.5316667,10989.5415,0.749939557,583.0975,14877.78025,0.465233027,588.155,4306.321667,0.787619239,600.5066667,-1.087540475,-0.339287457
5003-9,12706.0275,0.745301829,589.905,10760.1692,0.704683763,562.706,12276.32625,0.764922737,578.825,13410.4745,0.52102348,590.16,4656.497,0.775227571,604.44,-1.449694804,0.714069245
5004-2,15462.0995,0.747033116,579.5325,15200.6705,0.690853291,564.77,10164.328,0.745080286,583.58,17256.9035,0.453727944,588.8775,6892.846333,0.607991975,601.1433333,-1.704904996,0.029895222
5004-3,14056.53025,0.762212963,572.61,15177.968,0.699643625,563.03,8329.9075,0.856553631,581.16,13866.80775,0.462916191,586.6775,5947.579667,0.78377686,606.48,-0.496225078,-0.551748092
5004-6,10651.444,0.797387443,572.3625,15380.87517,0.701808874,566.7333333,8378.5195,0.826487398,582.415,15275.91125,0.446823745,586.9325,4269.783,0.858494706,606.15,0.222493652,-1.34042065
5004-P1,12232.64967,0.782374012,591.1666667,12055.14467,0.6864307,558.8133333,9264.2915,0.793018523,582.665,16690.64825,0.399298535,589.1775,3852.31,0.983105281,605.16,-0.667817842,0.386395971
5004-P11,19845.58925,0.808936858,575.1275,13626.7765,0.695191109,559.3183333,9957.668,0.815218188,579.1525,16322.93775,0.454770283,585.6775,4842.385,0.799047975,595.5133333,-1.855944808,-0.051195482
5004-P12,10762.31875,0.818069433,581.91,11350.66233,0.639189947,562.165,8333.533,0.83350586,580.905,16766.26875,0.441110364,586.6825,8859.981,0.813087287,581.4933333,-0.301753368,-0.159757052
5004-P13,11176.962,0.763807727,588.16,12959.9795,0.716969382,564.8816667,8477.25675,0.789962313,585.425,15801.63575,0.441535266,586.6825,5184.252,0.88203467,600.18,0.326912471,0.272469112
5004-P14,14018.2155,0.722574047,577.86,7191.656667,0.629121114,580.4116667,8650.1455,0.71829634,585.1025,10313.60575,0.447484378,590.64,3313.798,0.853545857,607.1,-0.579100737,2.531673665
5004-P2,14168.014,0.74688228,590.83,9283.5545,0.690343592,562.295,8832.7405,0.825192888,583.92,15339.36425,0.426212886,608.705,5885.2325,0.664958411,583.165,-0.17893145,1.740304411
5004-P6,12711.3815,0.717500388,581.8675,11509.167,0.649473807,554.7633333,14234.10175,0.761256666,579.075,14400.84625,0.488725941,585.59,6907.231333,0.726386197,596.1333333,-3.295285629,0.266858248
5004-P7,13107.83475,0.764874625,589.905,12140.78183,0.639745142,555.5883333,11286.998,0.705853454,584.305,13697.5935,0.449139123,587.3525,5381.624667,0.783254091,607.5133333,-2.603700743,0.51910919
5005-1,12476.2045,0.806396725,590.315,15663.832,0.725503383,566.3816667,9721.5675,0.810477175,581.0875,15719.07,0.473474175,586.6325,6914.468,0.7535968,601.675,0.067704496,-0.731179015
5005-2,18906.4425,0.75671645,580.0425,10094.92433,0.737176133,572.57,9219.23525,0.76971815,585.665,11108.81325,0.5074565,588.155,4885.833333,0.789123033,599.75,-0.074821592,1.725763426
5005-3,12249.64,0.762853625,590.1525,10545.8895,0.69025435,566.11,9121.696,0.814969375,581.81,12336.069,0.4575816,587.595,2937.472333,0.8305199,602.53,-0.002931803,1.017158556
5005-4,10418.845,0.8025811,585.335,10630.478,0.638492233,561.3133333,10188.173,0.748274,585.105,13469.425,0.434414325,587.595,6391.499333,0.744022667,599.44,-1.014190381,0.140546115
5005-5,12813.67125,0.773920125,578.03,14829.5172,0.67866526,565.932,10176.899,0.808071225,579.8,12058.222,0.457794,587.355,4998.818,0.8993713,601.1433333,-1.044009519,-0.62515622
5005-7,12306.27675,0.809665225,581.57,11599.47117,0.69913155,571.2266667,10342.8155,0.810582275,584.62,11189.463,0.482441075,585.83,6308.565333,0.814666533,598.7933333,0.506148477,-0.09217912
5005-8,16011.3975,0.7948736,583.3375,13856.5225,0.743563133,570.5316667,13505.5775,0.81026,584.065,9951.8625,0.472154425,586.3925,3573.841333,0.739308833,596.4533333,-0.295618079,-0.389303805
5005-9,13596.50175,0.71501305,586.8575,10217.8005,0.7390638,568.2133333,8898.481333,0.860650833,583.7433333,11493.50125,0.51586515,589.1175,6838.305667,0.7783879,603.1633333,0.806310459,1.565427386
5007-10,13417.0175,0.7292377,590.3625,8412.6745,0.7076312,565.5683333,9441.347,0.7536993,582.05,18517.335,0.428526525,587.3525,3159.027,0.8056468,605.08,-0.581184923,1.963739245
5007-11,14179.6805,0.7041535,598.4,7659.806,0.650094067,564.38,9612.271,0.7651047,584.37,12308.89,0.476399875,584.7875,2859.061,0.873406033,606.46,-1.127212298,2.981186952
5007-13,17957.7385,0.6928201,580.8675,9002.906,0.709876867,563.7933333,9464.858,0.79959085,582.615,14368.0275,0.446847125,586.15,4920.163,0.725919533,595.06,-1.191529978,2.360170474
5007-5,16297.345,0.663612525,589.15,12050.6465,0.696213717,566.0616667,11401.5,0.76727065,576.02,11233.488,0.393384125,616.69,3096.565,0.8105807,612.19,-2.411936161,1.883094855
5007-7,14180.655,0.714598825,577.5875,10011.72883,0.694642817,566.0966667,9572.70725,0.712343075,580.8475,14809.8325,0.47004895,587.675,3963.574,0.808571033,602.42,-1.650794424,1.357263904
5007-8,11289.9975,0.80084855,568.575,10927.14283,0.64815205,557.97,11111.63525,0.825009725,581.665,16751.65,0.452141475,585.6775,8940.082333,0.673618233,593.8533333,-1.288128928,-0.795748921
5008-1,13138.1725,0.807829075,575.535,9242.8415,0.740541167,567.4033333,12123.0475,0.7725024,584.3825,14974.67,0.475329775,586.3125,4484.240333,0.806863933,606.78,0.050923688,-0.061250618
5008-3,10886.23,0.856607225,578.9025,12686.15483,0.728275367,564.0933333,9594.42575,0.7891932,590.94,13188.2975,0.510507975,587.4325,3157.914,0.9887443,599.18,1.136509281,-1.168265879
5008-4,11920.913,0.867135333,579.1533333,10811.3815,0.708721617,573.1116667,8033.3215,0.88763985,587.18,12659.9755,0.50037795,586.68,4619.706,0.87182385,605.16,2.413481268,-0.397921849
